Configuration	STM32_Pin_Config_Play
STM32CubeMX 	4.27.0
Date	02/28/2019
MCU	STM32L486RGTx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	Temperature Sensor Channel	ADC1_TempSens_Input	VP_ADC1_TempSens_Input
LPUART1	Asynchronous	LPUART1_RX	PC0
LPUART1	Asynchronous	LPUART1_TX	PC1
RCC	BYPASS Clock Source	RCC_OSC32_IN	PC14-OSC32_IN (PC14)
SPI1	Full-Duplex Master	SPI1_MISO	PA6
SPI1	Full-Duplex Master	SPI1_MOSI	PA7
SPI1	Full-Duplex Master	SPI1_SCK	PA5
SPI2	Full-Duplex Master	SPI2_MISO	PB14
SPI2	Full-Duplex Master	SPI2_MOSI	PB15
SPI2	Full-Duplex Master	SPI2_SCK	PB13
SPI3	Full-Duplex Master	SPI3_MISO	PC11
SPI3	Full-Duplex Master	SPI3_MOSI	PB5
SPI3	Full-Duplex Master	SPI3_SCK	PC10
SYS	JTAG (5 pins)	SYS_JTCK-SWCLK	PA14 (JTCK-SWCLK)
SYS	JTAG (5 pins)	SYS_JTDI	PA15 (JTDI)
SYS	JTAG (5 pins)	SYS_JTDO-SWO	PB3 (JTDO-TRACESWO)
SYS	JTAG (5 pins)	SYS_JTMS-SWDIO	PA13 (JTMS-SWDIO)
SYS	JTAG (5 pins)	SYS_JTRST	PB4 (NJTRST)
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick



Pin Nb	PINs	FUNCTIONs	LABELs
2	PC13	GPIO_Output	NC
3	PC14-OSC32_IN (PC14)	RCC_OSC32_IN	
4	PC15-OSC32_OUT (PC15)	GPIO_Output	
5	PH0-OSC_IN (PH0)	GPIO_Output	NC
6	PH1-OSC_OUT (PH1)	GPIO_Output	NC
8	PC0	LPUART1_RX	
9	PC1	LPUART1_TX	
10	PC2	GPIO_Output	PMIC_SYNC
11	PC3	GPIO_Output	RADIO_RSTN_ADI
14	PA0	GPIO_Input	RADIO_GPIO2_ADI
15	PA1	GPIO_Input	RADIO_GPIO3_ADI
16	PA2	GPIO_Input	RADIO_GPIO4_ADI
17	PA3	GPIO_Input	RADIO_GPIO6_ADI
20	PA4	GPIO_Output	VB_EN
21	PA5	SPI1_SCK	RADIO_SPI_SCLK
22	PA6	SPI1_MISO	RADIO_SPI_MISO
23	PA7	SPI1_MOSI	RADIO_SPI_MOSI
24	PC4	GPIO_Output	NC
25	PC5	GPIO_Output	
26	PB0	GPIO_Output	FLASH_PWR_ENB_N
27	PB1	GPIO_Output	NC
28	PB2	GPIO_Output	TCXO_PWR
29	PB10	GPIO_Input	RADIO_TCXO_ADI
30	PB11	GPIO_Output	NC
33	PB12	GPIO_Output	FLASH_SPI_CSN
34	PB13	SPI2_SCK	FLASH_SPI_SCK
35	PB14	SPI2_MISO	FLASH_SPI_MISO
36	PB15	SPI2_MOSI	FLASH_SPI_MOSI
37	PC6	GPIO_Output	RL78_SPI_CSN
38	PC7	GPIO_Output	NC
39	PC8	GPIO_Output	NC
40	PC9	GPIO_Input	RL78_BUSY_ASK_ME
41	PA8	GPIO_Output	NC
42	PA9	GPIO_Output	PMIC_V1_ADJ
43	PA10	GPIO_Output	RADIO_SPI_CSN
44	PA11	GPIO_Output	PMIC_V3_EN
45	PA12	GPIO_Output	EN1
46	PA13 (JTMS-SWDIO)	SYS_JTMS-SWDIO	
49	PA14 (JTCK-SWCLK)	SYS_JTCK-SWCLK	
50	PA15 (JTDI)	SYS_JTDI	
51	PC10	SPI3_SCK	
52	PC11	SPI3_MISO	
53	PC12	GPIO_Output	BSL_TX
54	PD2	GPIO_Output	BSL_RX
55	PB3 (JTDO-TRACESWO)	SYS_JTDO-SWO	
56	PB4 (NJTRST)	SYS_JTRST	
57	PB5	SPI3_MOSI	
58	PB6	GPIO_Output	FW_TST_SIG2
59	PB7	GPIO_Output	FW_TST_SIG1
61	PB8	GPIO_Output	FEM_ENABLE_CSD
62	PB9	GPIO_Output	NC
